Wall time,Step,Value
1624116020.513108,0,0.41094648838043213
1624116028.375251,1,0.37610816955566406
1624116036.235182,2,0.3577120006084442
1624116044.089305,3,0.35610082745552063
1624116051.946819,4,0.3551626205444336
1624116059.800949,5,0.35410577058792114
1624116067.659542,6,0.3530639111995697
1624116075.511375,7,0.35239890217781067
1624116083.362408,8,0.35157015919685364
1624116091.203019,9,0.35133713483810425
1624116099.057387,10,0.35089901089668274
1624116106.914272,11,0.35065004229545593
1624116114.769226,12,0.35039418935775757
1624116122.618437,13,0.35018476843833923
1624116130.455851,14,0.3500625491142273
1624116138.307676,15,0.3499111831188202
1624116146.167035,16,0.349820077419281
1624116154.009288,17,0.34956085681915283
1624116161.859194,18,0.34957534074783325
1624116169.713945,19,0.3494323790073395
1624116177.572395,20,0.3494177460670471
1624116185.423641,21,0.34942033886909485
1624116193.281936,22,0.3492451608181
1624116201.143751,23,0.3491142988204956
1624116208.999092,24,0.34908682107925415
1624116216.857441,25,0.34917953610420227
1624116224.719579,26,0.34896206855773926
1624116232.572837,27,0.3489605486392975
1624116240.426587,28,0.34890955686569214
1624116248.285871,29,0.3490642309188843
1624116256.14506,30,0.3487946391105652
1624116264.006349,31,0.34875866770744324
1624116271.855139,32,0.348816841840744
1624116279.711792,33,0.3486602008342743
1624116287.567191,34,0.3486865162849426
1624116295.427856,35,0.34863901138305664
1624116303.283962,36,0.3486156165599823
1624116311.136776,37,0.34864386916160583
1624116318.985735,38,0.34841570258140564
1624116326.83839,39,0.3485126495361328
1624116334.699762,40,0.34850919246673584
1624116342.55133,41,0.3483298718929291
1624116350.414482,42,0.34844136238098145
1624116358.269232,43,0.34820523858070374
1624116366.135365,44,0.348287433385849
1624116373.99864,45,0.3481304347515106
1624116381.855442,46,0.34809717535972595
1624116389.70206,47,0.348361998796463
1624116397.551323,48,0.34820592403411865
1624116405.412171,49,0.34802329540252686
1624116413.269725,50,0.3480062186717987
1624116421.12105,51,0.34824132919311523
1624116428.976959,52,0.34786859154701233
1624116436.841198,53,0.3479011654853821
1624116444.704357,54,0.34795141220092773
1624116452.558407,55,0.3479148745536804
1624116460.41075,56,0.3478434681892395
