Wall time,Step,Value
1624106588.160238,0,0.5824605226516724
1624106596.071093,1,0.6824147701263428
1624106603.984151,2,0.7097576260566711
1624106611.891334,3,0.7264530658721924
1624106619.823548,4,0.7367536425590515
1624106627.73891,5,0.7429156303405762
1624106635.651654,6,0.7482393383979797
1624106643.577817,7,0.7519286274909973
1624106651.504232,8,0.755582332611084
1624106659.428279,9,0.758549690246582
1624106667.362444,10,0.760922908782959
1624106675.286147,11,0.7628652453422546
1624106683.222069,12,0.7646984457969666
1624106691.153131,13,0.7664450407028198
1624106699.08661,14,0.7679703831672668
1624106706.991324,15,0.7693598866462708
1624106714.933649,16,0.7706440091133118
1624106722.874048,17,0.7717638611793518
1624106730.81221,18,0.7728763818740845
1624106738.746752,19,0.7737799286842346
1624106746.688947,20,0.7747026681900024
1624106754.634381,21,0.7756122350692749
1624106762.577015,22,0.7761721611022949
1624106770.496033,23,0.7770199775695801
1624106778.43441,24,0.7776842713356018
1624106786.392207,25,0.7782940864562988
1624106794.34321,26,0.7789792418479919
1624106802.256998,27,0.7795187830924988
1624106810.200425,28,0.7800613045692444
1624106818.154708,29,0.7805481553077698
1624106826.117323,30,0.7810518145561218
1624106834.042526,31,0.78155118227005
1624106841.988742,32,0.7820573449134827
1624106849.926886,33,0.7825266718864441
1624106857.873214,34,0.7829784154891968
1624106865.810367,35,0.7832989692687988
1624106873.746802,36,0.7836785912513733
1624106881.698763,37,0.784123957157135
1624106889.649214,38,0.7844980359077454
1624106897.571175,39,0.784889817237854
1624106905.522424,40,0.7851279973983765
1624106913.455759,41,0.7855046391487122
1624106921.414242,42,0.7859030365943909
1624106929.362747,43,0.786099374294281
1624106937.319121,44,0.786452054977417
1624106945.264509,45,0.7866196632385254
1624106953.221359,46,0.7869589328765869
1624106961.177424,47,0.7871717214584351
1624106969.120675,48,0.7875456809997559
1624106977.069152,49,0.7877107858657837
1624106984.987376,50,0.7880391478538513
1624106992.930578,51,0.7882473468780518
1624107000.874624,52,0.7885181903839111
1624107008.821448,53,0.7886985540390015
1624107016.641686,54,0.7889581918716431
1624107024.471961,55,0.7890625
1624107032.294506,56,0.7893917560577393
1624107040.122322,57,0.7895481586456299
1624107047.936418,58,0.7898702621459961
1624107055.76038,59,0.7900022864341736
1624107063.590149,60,0.7901977300643921
1624107071.425527,61,0.7904407978057861
1624107079.260521,62,0.790526807308197
1624107087.105145,63,0.7908475399017334
1624107094.939782,64,0.7909759283065796
1624107102.752777,65,0.7910881638526917
1624107110.563147,66,0.7913458943367004
1624107118.382477,67,0.791493833065033
1624107126.201738,68,0.7916198372840881
1624107134.010565,69,0.7918351292610168
1624107141.816916,70,0.7919708490371704
1624107149.627642,71,0.7920927405357361
1624107157.435469,72,0.7923220992088318
1624107165.250344,73,0.7924547791481018
1624107173.060122,74,0.7925125956535339
1624107180.855313,75,0.7928029894828796
1624107188.657104,76,0.7929269075393677
1624107196.475948,77,0.79296875
1624107204.296379,78,0.7930921912193298
1624107212.111337,79,0.7933013439178467
1624107219.914758,80,0.7934248447418213
1624107227.714855,81,0.793478786945343
1624107235.519331,82,0.7937353253364563
1624107243.316273,83,0.7938172221183777
1624107251.137865,84,0.7939349412918091
1624107258.930281,85,0.7939743399620056
1624107266.725423,86,0.7941737174987793
1624107274.535465,87,0.7943046689033508
1624107282.335584,88,0.7944071292877197
1624107290.139937,89,0.794445812702179
1624107297.939954,90,0.7945587635040283
1624107305.743492,91,0.7947664260864258
1624107313.544332,92,0.7948825359344482
1624107321.354864,93,0.7949212789535522
1624107329.1684,94,0.7950373291969299
1624107336.975405,95,0.7952455282211304
1624107344.777224,96,0.7952824831008911
1624107352.584609,97,0.7953812479972839
1624107360.396074,98,0.7954120635986328
